"year","number","question","answer","choice1","choice2","choice3","choice4","choice5"
"2021","1","森林・林業基本計画（令和3年（2009年6月10日）により告示された基本計画）に関する次の記述のうち、最も不適切なものはどれか。","3","①本計画では、育成複層林の推進によるCO2吸収源対策や、林業・木材産業・木材利用分野でのグリーン成長を掲げている。","②本計画では、森林の間伐の促進及び森林への適切な管理の推進に関する事項を定めるものとされている。","③本計画では、「国産材の自給率を50%以上に高める」目標が掲げられており、計画達成年次における自給率目標を定めている。","④本計画では、林業の各段階における生産性向上や担い手の育成・確保、木材需要の拡大などの施策を盛り込んでいる。","⑤本計画では、持続的に発展できる林業経営体の育成や継続的な担い手確保のための施策が位置づけられている。"
"2021","2","森林組合に関する次の記述のうち、最も不適切なものはどれか。","2","①森林組合は、森林組合法に基づき組合員である森林所有者の森林経営の改善と生活の向上に協同の事業を行うことを目的として設立される組合である。","②森林組合は、組合員となることができる者の範囲を地区内の森林所有者に限定されており、法人の組合員資格は認められていない。","③森林組合の組合員の議決権・選挙権は出資口数にかかわらず、各組合員が1個の議決権を有する平等議決権が原則である。","④森林組合は、その地区内の森林の面積の10分の3以上の森林を有する森林所有者を組合員として設立できる。","⑤森林組合の経営の健全性の確保等のために、都道府県の指導監督を受けており、行政機関による検査制度がある。"
"2021","3","我が国の森林面積・林業生産等に関する次の記述のうち、最も不適切なものはどれか。","2","①我が国の森林面積は約2,500万haで国土の約3分の2を占めており、人工林率は約40%である。","②素材生産量（丸太生産量）は、戦後の拡大造林の効果もあり、1960年代後半から増加し続け、現在では約6,000万m3を超えている。","③木材自給率は、2002年（平成14年）に約19%まで低下した後、回復傾向にあり、2019年（令和元年）には約37%まで回復している。","④我が国の林業産出額は約4,600億円（2018年（平成30年））であり、このうち丸太等の木材生産による産出額が全体の約80%を占める。","⑤民有林における素材生産量の約40%は、下刈・除伐・間伐等の造林・保育作業を行うことができる路網が整備されていない、いわゆる「奥山」と呼ばれる山地で生産されている。"
"2021","4","施業の集約化に関する次の記述のうち、最も不適切なものはどれか。","4","①施業の集約化とは、隣接する森林を一体的に管理・経営し、一定のまとまりのある森林に対して施業を集中的に実施するものである。","②施業の集約化に取り組むために、林業普及指導員等が中心となって、森林所有者の意向確認や関係機関との調整を行う森林経営計画の作成を支援している。","③施業の集約化を進めるための仕組みとして、市町村が中心となって隣接する複数の森林所有者等が施業や経営を共同して行う「森林経営計画」の制度がある。","④施業の集約化に当たっては、林業事業体は経営の合理化を図るため、境界が不明な所有地については、隣地の所有者に無断で施業しても問題はない。","⑤施業の集約化を推進するために、市町村が「林地台帳」を整備し、所有者情報を管理しながら、森林所有者への働きかけを行っている。"
"2021","5","伐採及び造林に関する次の記述のうち、最も不適切なものはどれか。","5","①主伐とは、育成単層林において、利用可能な材積を有する森林に対して行われる伐採であり、皆伐や択伐がある。","②皆伐では、林分内の樹木を一度に全部又は大部分を伐採するため、皆伐後には人工造林や天然更新によって新たな林分を造成することが求められる。","③択伐では、林分内の一部の樹木のみを伐採する方法で、残存する樹木の成長を促すとともに、伐採後には伐採木の切り株や残存樹木の落下種子等から後継樹の発生を期待する場合がある。","④帯状伐採とは、森林を帯状に区分して順次伐採していく方法で、伐採した部分の更新に隣接する林分の樹木からの種子の飛散を利用できる場合がある。","⑤樹幹の形質が優れた優良木を多く含む立木密度の高い人工林においては、間伐を省略して一度に皆伐を行うことが森林の健全性を保つ上で最も効果的な方法である。"
"2021","6","苗木に関する次の記述のうち、最も不適切なものはどれか。","3","①林木の苗木を作る方法は、実生繁殖すなわち種子から苗木を育成する有性繁殖法と、さし木、接ぎ木、とり木、分株、組織培養等により苗木を育成する栄養繁殖法に分けることができる。","②実生苗木生産にとって、種子確保は重要な課題であり、樹木を観察して種子の登熟を予測し、豊作年に多くの種子を採取して、これを長期間保存しておく技術が必要である。","③コンテナ苗は、容器内面にリブ（縦筋状の突起）を設け、容器の底面を開けるなどにより、根が培地に張り巡らされ、根鉢が容易に崩れない状態（成形性）が保たれ、根巻きが進むのが特徴である。","④林野庁では、花粉症対策に資する苗木の生産拡大に向けて、少花粉スギ等の種子を短期間で効率的に生産する「ミニチュア採種園」や富木生産施設の整備等に取り組んでいる。","⑤精英樹の中でも特に優れたものを交配した苗木の中から選ばれた第2世代精英樹（エリートツリー）は、初期成長の早さが特徴で、材質や通直性にも優れている。"
"2021","7","各種と共生による森林（もり）づくり、森林管理施策に関する次の記述のうち、最も不適切なものはどれか。","5","①CSR（企業の社会的責任）活動の一環として、企業による森林の保全活動を行うための制度として、「企業の森づくり活動」制度があり、都道府県、市町村などによる企業と森林所有者等のコーディネートにより実施されている。","②市民との協働による森林づくりを促進するために、市区町村を実施主体として、協定に基づき市民が参加してボランティア活動として森林整備活動等に取り組む「市民の森づくり推進事業」が実施されている。","③大学生が在学中に森林整備等の実体験を学ぶとともに、将来の森林・林業を担う人材を育成することを目的として、大学山岳部等が実施する森林整備活動を支援する制度がある。","④「緑の募金」は、森と緑の会が実施主体となり、緑の羽根を活用して行う募金活動であり、国内外の森林づくり活動に役立てられている。","⑤ダム式の貯留や流域管理によって水資源を涵養する観点から、最も重要なのは水源地域の天然林であり、国内における人工林の整備は水源涵養には寄与しないとする考えが主流になっている。"
"2021","8","持続可能な開発目標（SDGs）に関する次の記述のうち、最も不適切なものはどれか。","5","①平成27（2015）年9月の国連サミットにおいて「我々の世界を変革する：持続可能な開発のための2030アジェンダ」が採択され、17の目標が設定された。","②普及活動において、持続可能な開発目標（SDGs）のカラーホイールは、特定の目標の達成に向けてどの関係機関がどのように取り組んでいるかを関係者が把握するために重要なツールとなっている。","③平成29（2017）年6月に閣議決定された「SDGs実施指針」において、我が国の8つの優先課題が設定された。","④平成30（2018）年6月に閣議決定された「SDGsアクションプラン2019」では、SDGsの達成に向けた日本の具体的な行動計画が示されている。","⑤SDGsは、各国政府や国連機関が取り組む目標であり、企業や個人の取組を推進していくことは、その理念に反するものである。"
"2021","9","森林の保全及び火災防止に関する次の記述のうち、最も不適切なものはどれか。","3","①市区町村が行う地域における保安林の管理等に関する計画（地域管理経営計画）の作成を支援するとともに、保安林の持続的な管理の推進など、地域の実情に即した取組が求められている。","②保安林は、森林法により設定され、水源の涵養や土砂流出防備など17の目的別に設定でき、保安林の所有者は、国土交通大臣の許可なく立木の伐採や土地形質の変更を行ってはならない。","③保安林制度において、禁止行為や制限行為がある保安林を伐採する際は、農林水産大臣の許可が必要であり、この伐採許可を得ずに伐採した場合には、罰則規定（3年以下の懲役又は100万円以下の罰金）が適用される。","④保安林の管理者は都道府県知事であり、国有林の保安林については、北海道森林管理局等の各地方森林管理局が都道府県知事と協力して管理している。","⑤林野火災は、毎年5月頃が最も発生が多く、その原因としては火入れや煙草等が挙げられ、森林被害の防止のため、「全国山火事予防運動」が毎年春に実施されている。"
"2021","10","森林の炭素吸収源対策に関する次の記述のうち、最も不適切なものはどれか。","2","①森林の炭素吸収量は、大気中のCO2濃度の安定化に資するものであり、地球温暖化防止に重要な役割を担っている。","②森林内の炭素蓄積量は、「生きている木材（生物量）」のみで評価され、枯死木や落葉落枝、土壌に含まれる炭素は計上されない。","③わが国の京都議定書目標達成計画では、森林吸収源として、吸収量の目標を基準年（1990年）の総排出量の3.8%に設定していた。","④京都議定書では、条約の附属書Ⅰ国に対して2008〜2012年（第一約束期間）における温室効果ガスの排出削減義務が課せられた。","⑤2015年（平成27年）に採択されたパリ協定では、産業革命前と比べた地球平均気温上昇を2℃未満に抑えるという目標が設定されており、各国の自主的な削減目標（NDC）の提出と更新が義務付けられている。"
"2021","11","森林の分類と機能に関する次の記述のうち、最も不適切なものはどれか。","3","①森林はその成立過程から、原生林（自然林）、天然林（二次林を含む）、人工林に分けられ、我が国の天然林の多くは人間活動の影響を受けた二次林である。","②森林は、樹木の生長及び枯死のサイクルを通じて大気中のCO2の吸収と放出を行っており、若い樹木では成長に伴い大気中のCO2を吸収し続けているが、老齢木では呼吸によるCO2排出量が光合成によるCO2吸収量を上回るようになる。","③国土の保全や水源の涵養など公益的機能が特に高度に発揮されることが求められる森林は「保護林」として指定されており、ほぼすべての国有林が保護林に指定されている。","④森林が持つ機能のうち、水循環機能については、降水が森林の地表面から浸透し、年間降水量の50〜80%程度が地下水となって流出していると言われている。","⑤国内の森林の多くは、木材資源の生産とともに国土保全や水源涵養のような生態系サービスも供給している。"
"2021","12","森林の土壌に関する次の記述のうち、最も不適切なものはどれか。","2","①森林土壌は、有機物の集積量及び風化の程度が深さによって異なり、それにより異なる特徴を持つ複数の層（土壌層位）が形成され、これらの層位が重なったものを土壌断面という。","②山地における土壌は、侵食と堆積が繰り返されることで均質な土壌が形成されており、化学的性質・物理的性質共に場所の影響を受けない均一な性質である。","③褐色森林土は、我が国の最も代表的な森林土壌であり、有機物の集積や風化が進み、土壌の深さ方向に様々な土壌層位が発達しているのが特徴である。","④堆積岩類を母材とする土壌や表層が細粒な土壌では、降水後に水が土壌中で滞留・横流れするグライ化や湿性化がみられることがある。","⑤森林の土壌生物には、ミミズや昆虫類のような土壌動物のほか、糸状菌や細菌等の微生物が含まれており、落葉落枝の分解・腐植化に重要な役割を果たしている。"
"2021","13","共有地の管理に関する次の記述のうち、最も不適切なものはどれか。","4","①我が国には、不特定多数の者が利用できる入会地のほかに、特定のコミュニティが共同利用する入会地もある。","②入会地は、山村等の農林業者が薪や落葉等を集めるために共同で利用してきた山野である。","③農業委員会は、農地の利用調整を行う機関であるが、農地及び採草放牧地以外の土地については入会地に関する業務も行う。","④国有地の管理においては、都道府県の長が森林法に基づいて行う立木竹の伐採の許可の際に境界を確認しなければならない。","⑤地縁による団体（自治会・町内会等）は、不動産を保有するにあたり、法人格を取得する方法として「認可地縁団体」の制度がある。"
"2021","14","水源地域における森林・林業の管理に関する次の記述のうち、最も不適切なものはどれか。","1","①水源地域の森林については、その所有者に関係なく、水源機能を高める施業を行うよう義務付ける規定が森林法に存在する。","②森林の水文環境に関わる特性として、山地流域からの流出高は年間降水量の60〜80%とされており、森林の水源涵養機能が流域の水循環において重要な役割を担っている。","③針葉樹人工林では、過密化した樹冠によって下層植生が少なくなる場合があり、適切な間伐を行うことで林内への雨水浸透量を高めることができる。","④水源地域の森林において皆伐を行うと、土砂の流出リスクが高まるため、皆伐後の造林・保育を適切に行い、水源機能の回復に努めることが重要である。","⑤「水源の森づくり」や「水と緑の森づくり税」など、水源地の森林整備・保全を目的として、都道府県が独自に設ける税制措置や施策がある。"
"2021","15","林業の機械化に関する次の記述のうち、最も不適切なものはどれか。","4","①林業機械は、農業機械と違って主に傾斜地での作業に使用されるため、斜面走行の安定性が重要であり、安全面の確保が特に求められる。","②林業の機械化による生産性向上が重要視される中、高性能林業機械による素材生産量は2010年代初めを境に著しく増加している。","③グラップル（把持装置）を標準装備したハーベスタやプロセッサなどの機械が普及してきており、伐木・造材・集材の各工程を効率的に行うことができる。","④急峻な地形が多い日本の山地に適した林業機械として、平坦な地形での荷搬出に有利なフォワーダが広く普及しており、全ての伐採現場で使用されている。","⑤林業機械の導入・普及に際しては、林道や作業道等の路網整備を計画的に進め、機械の走行性・安全性を確保することが求められる。"
"2021","16","ワイヤーロープに関する次の記述のうち、最も不適切なものはどれか。","5","①ワイヤーロープは、ワイヤを多数よりあわせてストランドとし、さらにそのストランドを複数本よりあわせて作られたロープである。","②ワイヤを多数集束するとして、各番のワイヤが何本となるかは「平方①」に基づいており、各番のワイヤは奇数本になることが多い（偶数になることもある）。","③ローブのよりの方向として「Z より」「S より」があり、特に断りがない場合は「Z よ り」、cross-lay-longitudeとよばれることも多い。","④ローブのよりを多数集束するとして、6本のストランドが同心円状に配置されている場合、中心に1本のコアが入り計7本になることが多い。","⑤ワイヤーロープは、一度かかる負荷が切断荷重（破断荷重）の1/3〜1/5以下となるように安全係数を設定されており、この安全係数を超えた場合に限り、素直に切断が発生する。"
"2021","17","作業システムに関する次の記述のうち、最も不適切なものはどれか。","5","①架線作業では、集材距離が長くなっても対応でき、急傾斜地でも土壌攪乱が少ないなどの利点がある。","②車両系作業では、作業精度・安全性からみて、傾斜20〜30°未満の比較的緩やかな斜面での作業が適しており、傾斜が急になるほど架線系との組み合わせが検討される。","③車両系作業では、主に一般の重機（建設機械）を改造して林業機械として利用しており、走行装置によりホイール系・クローラ系に分けられる。","④架線系作業では、主索と荷重索の2本のワイヤーを利用して荷を吊り上げて搬送するタワーヤーダが利用されており、林業が盛んな北米や欧州の山岳地帯でも広く使用されている。","⑤架線系作業では、林業先進国であるドイツ・スウェーデン等で広く普及している作業システムであり、本数間伐を主体とする我が国の林業においても架線系作業が主流となっている。"
"2021","18","森林作業道の設計に関する次の記述のうち、最も不適切なものはどれか。","3","①森林作業道は、バックホウ、スキッダ、フォワーダ等の林業機械の走行が可能な幅員や縦断勾配を確保して設計することが必要である。","②森林作業道の設計においては、作業目的の機械の種類と作業量に見合った路体の強度と安定を確保した上で、コスト面から極力土工事量を少なくすることが必要である。","③森林作業道は、安全を確保するため切土・盛土を大きくして路体の強固な基礎を作ることが肝要であり、法面の保護に植生工（種子吹付工・植栽工等）を行うことが特に重要である。","④路面排水施設の整備として、路面への雨水の流入・集水を減らし、路面表面水を適切に側溝や路外に排水するよう設計することが必要である。","⑤縦断曲線において、急な坂道から平坦部への変化点付近や平坦部から急な坂道への変化点付近については、地山の切り崩しや盛土が大きくならないよう縦断曲線長を確保することが望ましい。"
"2021","19","木の性質に関する次の記述のうち、最も不適切なものはどれか。","1","①スギやヒノキなどの針葉樹材は、ブナやケヤキなどの広葉樹材と比べ、導管が存在するため材の強度が高く、大断面の構造材として活用されている。","②針葉樹の木材において、仮道管は蒸散流（根から葉に向かう水・無機塩類の移動）の通路となっているとともに、葉や成長点への水分・養分の供給を担っている。","③スギやヒノキ等の針葉樹の樹幹の横断面において、樹心に近い部分（心材）が濃い茶色などを示すことが多く、辺材との境界が比較的明瞭なことが多い。","④木材細胞壁の構成成分であるセルロース、ヘミセルロース、リグニンのうち、セルロースは吸湿性が低く、ヘミセルロースは吸湿性が高い特性がある。","⑤木材の乾燥収縮は、繊維飽和点以下になると含水率に比例して起こり、繊維方向（樹幹軸方向）よりも横断面方向の収縮が大きい。"
"2021","20","木材の利用に関する次の記述のうち、最も不適切なものはどれか。","3","①集成材は、繊維方向を平行にそろえた複数の板（ラミナ）を接着剤で張り合わせて製造した木質材料であり、強度のばらつきを小さくできる特徴がある。","②単板積層材（LVL）は、薄くスライスした単板（ベニヤ）を繊維方向を平行にそろえて積層・接着した木質材料であり、高い強度と剛性を持ち、強度が比較的均一で、構造材や家具等に用いられる。","③CLT（直交集成板）は、繊維方向が同一方向に平行に積み重なるように接着積層して形成された面材であり、圧縮・引張力に対する抵抗が大きく、合板より変形しにくい特性をもつ。","④木材の燃焼特性として、木材が燃焼した際の表面に形成される炭化層は、熱の伝導を妨げることにより未燃材部分の過度な温度上昇を防ぐ働きがあることが知られている。","⑤構造用木材の強度を表すために、曲げ強度（MOR）、縦圧縮強度（UCS）、縦引張強度（UTS）などが使用されており、これらの値は木材の使用目的に応じた設計に利用される。"
"2021","21","木材の乾燥に関する次の記述のうち、最も不適切なものはどれか。","5","①木材は、木取り（製材）後の生材の状態で、含水率が100%を超えることがある。","②木材の気乾状態とは、使用する室内の雰囲気の温湿度条件と平衡した含水率の状態であり、一般的な室内環境では、含水率が12〜15%前後の状態を指す。","③木材の繊維飽和点は樹種によって差があるが、概ね含水率25〜30%の状態であり、繊維飽和点以下になると乾燥収縮が起こる。","④人工乾燥には、木材に蒸気を当てて乾燥させる蒸気式や、高周波電流を利用して木材内部を直接加熱して乾燥させる高周波式など様々な方法がある。","⑤木材の乾燥に伴う含水率の変化は、繊維方向・板目面・柾目面のどの方向においても一様に生じるため、乾燥後の寸法の変化も各方向で等しい。"
"2021","22","木材・木質材料の特性に関する次の記述のうち、最も不適切なものはどれか。","5","①木材の熱伝導率は鉄やコンクリートに比べて非常に小さく、断熱性が高い。","②木材の熱膨張係数（線膨張係数）は鉄やコンクリートに比べて非常に小さいが、乾燥収縮が起こるため、実際の構造物においては温度変化に伴う寸法変化には注意が必要である。","③木材の比強度（単位重量当たりの強度）は、一般的に鉄やコンクリートと比べると同等あるいはそれ以上とも言われており、建築構造材として有利な特性を持っている。","④木材の防腐処理は、木材防腐剤（クレオソート油等）を木材に浸透させることで木材腐朽菌の繁殖を抑制し、木材の耐朽性を向上させる処理であり、適切な防腐処理を施した木材は屋外での耐用年数が飛躍的に向上する。","⑤加熱によって木材表面が炭化すると、燃焼が急激に進行するため、木材はコンクリート等と比較して火災時に構造体としての耐力を急激に失いやすい特性を持つ。"
"2021","23","外来種問題に関する次の記述のうち、最も不適切なものはどれか。","3","①生態系等に被害を及ぼす恐れのある外来種については、「外来生物法（特定外来生物による生態系等に係る被害の防止に関する法律）」に基づき指定・規制されている。","②外来種の問題は動物のみならず植物でも問題となっており、ブラジルチドメグサ、オオカワヂシャ、ボタンウキクサ等が特定外来生物に指定されている。","③外来種の導入が起きると、在来種との種間競争が生じることがあるが、外来種が在来種を駆逐して生態系を大きく変えることは、一般に難しいとされている。","④我が国の侵略的外来種として問題となっているアライグマは北米原産の動物であり、農産物等への被害が深刻化しているため、特定外来生物に指定されている。","⑤ヒアリは特定外来生物に指定されており、強い毒性と攻撃性があり、生態系への被害のみならず人への健康被害（重篤な場合は死亡することもある）も懸念される外来生物である。"
"2021","24","野生鳥獣の保護と管理に関する次の記述のうち、最も不適切なものはどれか。","4","①鳥獣の保護及び管理並びに狩猟の適正化に関する法律（鳥獣保護管理法）において、鳥獣の捕獲等は原則禁止されており、捕獲等をするには、農林水産大臣又は都道府県知事の許可が必要である。","②農林業被害への対応として、市町村鳥獣被害防止計画の策定、被害防止施設の設置や捕獲等を行う「鳥獣被害防止特措法」に基づく対策が進められている。","③ニホンジカの個体数は増加が続いており、近年では、農林業被害が大きな問題となっているほか、ニホンジカが植生をはじめとする生態系への深刻な被害をもたらすことも懸念されている。","④指定管理鳥獣（ニホンジカ・イノシシ）の捕獲に対する国の財政支援において、「認定鳥獣捕獲等事業者」は活動ができないため、地域の猟友会や捕獲隊の活動が中心となっている。","⑤ニホンザル、シカ、イノシシ、クマ等の野生鳥獣による農林業被害は、近年被害金額が200億円前後で推移しており、農業被害のみならず、林業被害も大きな問題となっている。"
"2021","25","生物多様性に関する次の記述のうち、最も不適切なものはどれか。","2","①生物多様性は「種内の遺伝的多様性」「種の多様性」「生態系の多様性」の3つの側面からなり、これら全ての多様性を保全していくことが重要とされている。","②生物多様性条約は2010年に名古屋において第10回締約国会議（COP10）が開催され、「名古屋議定書」が採択されたが、日本はまだこの条約を批准していない。","③生物多様性の損失要因は、「生息地の破壊・改変」「乱獲」「外来種・病気の侵入」「地球温暖化等の気候変動」と整理されている。","④世界の生物多様性の保全を目的として設立された機関として、「生物多様性に関する政府間科学政策プラットフォーム（IPBES）」が2012年に設立されている。","⑤里山は、農林業などの人間活動が地域の自然環境に深く影響を与えることで形成されており、その適切な管理が途絶えると生物多様性が失われる恐れがある。"
"2021","26","森林生態系に関する次の記述のうち、最も不適切なものはどれか。","2","①森林の成長（遷移）は、一般的に草原→低木林→陽樹林→陰樹林（→極相）という過程をたどるとされており、最終段階の極相においては安定した森林（極相林）が形成される。","②陽樹は、強光のもとでの光合成速度が低くなるため、弱光条件でも成長できる一方、陰樹は強光下でのみ成長が可能であるという特性がある。","③森林生態系の物質生産として、樹木が光合成によって同化した有機物量から、呼吸によって消費した有機物量を差し引いた値を純一次生産量（NPP）という。","④森林生態系の物質循環において、有機物から無機物への分解（リターの分解）はおもに微生物によって担われており、特に土壌中の細菌・菌根菌・腐生菌類等がこの分解に深く関与している。","⑤植物の生活様式の進化の観点から、古い植物（花被のない裸子植物のシダ・コケ類）から新しい植物（被子植物）への変化が遷移の過程として現れるとする「生態学的遷移」理論がある。"
"2021","27","森林における野生生物の生態に関する次の記述のうち、最も不適切なものはどれか。","3","①ヤマネ（ニホンヤマネ）は、夏に堅果類（ドングリ等）を食べ脂肪を蓄え、10月頃から春まで冬眠する。全身柔らかく毛で覆われ、尾の先だけに黒い筋がある小型の哺乳類である。","②ニホンカモシカは、ウシ目（偶蹄目）ウシ科の動物で、国の特別天然記念物に指定されている。角は雌雄ともに存在し、枝分かれしない一本角であることが特徴である。","③ニホンオオカミは、ニホン固有種であり、江戸時代に食肉目（ネコ目）イヌ科の動物として生息が確認されていたが、明治末期ごろに絶滅したとされている。ニホンオオカミの絶滅原因として、家畜への被害（農業被害も含む）対策としての駆除と、狂犬病などの疾病が挙げられる。ただし「ニホンオオカミは現在も生存している」という説もある。","④ヒグマは、本州以南には生息せず、北海道のみに生息するクマ科の野生動物（ニホンクマ属）である。北海道に生息するヒグマのの体重は概ね100〜500kgで、主に草食性だが、雑食性でもある。","⑤ニホンイノシシは、ブタと同じイノシシ属に属する野生動物で、全国に生息しており、本来は山地から平野まで広く生息している。体毛は剛毛で暗褐色を呈し、背面の色が腹面より薄い。"
"2021","28","日本の天然記念物（主に森林に関するもの）に関する次の記述のうち、最も不適切なものはどれか。","5","①「天然記念物」とは、文化財保護法に基づき指定される文化財の一種で、動物、植物、地質・鉱物などのうち学術上価値の高いものが指定される。","②屋久島にある「縄文杉」は、実際の樹齢には諸説あるが、7,000年以上とする推定もあり、世界最古の木とも言われることがある。縄文杉は現在、天然記念物に指定されている。","③「春日山原始林」（奈良県）は、奈良時代から禁伐区域として保護されており、多くの野生生物が生息している。世界遺産「古都奈良の文化財」の構成資産の一つであり、天然記念物にも指定されている。","④北海道東部に位置する「霧多布湿原」は、北海道内最大の湿原で広大な湿地帯に多様な湿生植物群落が分布しており、ラムサール条約登録地・天然記念物に指定されている。","⑤「屋久島スギ原始林」（鹿児島県）は、天然記念物に指定されているほか、1993年にユネスコの世界自然遺産に登録されており、特別天然記念物にも指定されている。"
"2021","29","水文・水資源に関する次の記述のうち、最も不適切なものはどれか。","4","①水文循環において、地球上の水は海・陸地・大気の間を蒸発・降水・流出等のプロセスにより循環し、地球の水の総量の約97.5%は海洋に存在している。","②世界の水資源のうち、淡水は約2.5%であるが、その多くは氷河や地下水として存在するため、人間が比較的容易に利用できる河川や湖沼の水は淡水全体の1%にも満たない。","③日本の年降水量は世界平均の約2倍であるが、人口一人当たりの降水量は世界平均の約1/3程度と少なく、水資源は必ずしも豊富とは言えない。","④森林からの蒸発散量を算出する場合に利用するペンマン式は、実蒸発散量を直接計算するために開発された式であり、積雪がない時期であればどのような土地利用条件においても正確な蒸発散量を計算できる。","⑤山地流域の水収支において、年間の蒸発散量（E）＝年間降水量（P）−年間流出量（Q）として求めることができる。"
