"year","number","question","answer","choice1","choice2","choice3","choice4","choice5"
"2024","1","森林・林業基本計画（令和3（2021）年6月）の「森林及び林業をめぐる情勢変化等を踏まえた対応方向」に関する次の記述のうち、最も不適切なものはどれか。","4","①本計画では、山村地域において、森林サービス産業を育成し、関係人口の拡大を目指すとともに、集落維持のため、農林地の管理・利用など協働活動を促進することとしている。","②本計画では、主に大規模な製材・合板工場等は、外材等に対抗できる国産材製品の供給体制を整備し、国際競争力を高めるとともに、中小地場工場等は、地域における多様なニーズに応える多品目の製品を供給できるようにし、地場競争力を高めることとしている。","③本計画では、新技術を取り入れ、伐採から再造林・保育に至る収支のプラス転換を可能とする「新しい林業」を展開し、また、「長期にわたる持続的な経営」を実現できる林業経営体を育成することとしている。","④本計画では、人工林については、資源の循環利用を進めつつ、多様で健全な姿へ誘導するため、間伐の繰返しによる長期化や複層林化により非皆伐施業を推進するとともに、天然生林の保全管理や国土強靭化に向けた取組を加速することとしている。","⑤本計画では、中高層建築物や非住宅分野等での新たな木材需要の獲得を目指すとともに、木材を利用することで、都市に炭素を貯蔵し温暖化防止に寄与することとしている。"
"2024","2","森林管理や森林計画等の制度に関する次の記述のうち、最も不適切なものはどれか。","5","①全国森林計画は、農林水産大臣が、森林・林業基本計画に即し、かつ、保安施設の整備の状況等を勘案して、全国の森林につき、5年ごとに15年を1期として立てる計画である。","②森林経営管理制度は、手入れの行き届いていない森林について、市町村が森林所有者から経営管理の委託を受け、林業経営に適した森林は地域の林業経営者に再委託し、また、それ以外の森林は市町村が公的に管理する制度である。","③立木採取権制度は、効率的かつ安定的な林業経営の育成を図るため、国有林野の一定区域を立木採取区として指定し、公益的機能を確保しつつ、一定期間、安定的に木を採取することができる権利を民間事業者に設定する制度である。","④森林経営計画は、森林所有者又は森林所有者から森林の経営の委託を受けた者が、自らが森林の経営を行う一体的まとまりのある森林を対象に、5年を1期として作成する計画である。","⑤森林環境譲与税は、令和6（2024）年度から、国税として1人年額1,000円を市町村が賦課徴収するものであり、市町村においては、森林の整備に関する施策や森林の整備の促進に関する施策の費用に充てることとされている。"
"2024","3","林木の成長量に関する次の記述のうち、最も不適切なものはどれか。ただし、0年からn年までの総成長量をYnとする。","4","①総平均成長量とは、ある年（n年）までの平均成長量であり、Yn/nである。","②連年成長量とは、ある1年間の成長量であり、Yn+1－Ynである。","③定期成長量とは、あるm年間の成長量であり、Yn+m－Ynである。","④定期平均成長量とは、ある年（n年）までの1齢級（5年間）当たりの平均成長量であり、（Yn/n）×5である。","⑤期平均成長量とは、伐期齢（u年）までの平均成長量であり、Yu/uである。"
"2024","4","林分の混み合い度の指標に関する次の記述のうち、最も不適切なものはどれか。","3","①収量比数は、林分密度管理図において、最多密度（ある樹高のもとで、もうこれ以上は入らないという上限の本数密度）を1としたときの、それに対する相対的な混み具合を表す値である。","②樹冠長率は、林木の樹冠長を樹高で割った値の百分率である。","③形状比は、林木の胸高直径を樹高で割った値である。","④相対幹距（比）は、林木間距離の平均（平均幹距）を上層樹高又は主林木平均樹高で割った値の百分率である。","⑤樹冠疎密度は、林分の林冠投影面積を林地面積で割った値である。"
"2024","5","育林に関する次の記述のうち、最も不適切なものはどれか。","2","①つる切りとは、つる植物を除去し、植栽木の頭部や樹幹の損傷・折損、樹冠部の被圧などの被害を防ぐ作業である。","②間伐とは、植栽木相互の競争を管理し、樹高成長を目的に合わせて調節する作業である。","③枝打ちとは、植栽木の下枝（枯枝と生枝の一部）を切り、主に無節で完満な良材を得るための作業である。","④下刈りとは、雑草木を刈払い、植栽木の成長に対する、通風、根系競合などの障害を除去する作業である。","⑤地ごしらえとは、植栽とその後の保育を能率よくするために、植栽予定地の雑草木の刈払いと伐木枝条の整理を行う作業である。"
"2024","6","林木育種・育苗に関する次の記述のうち、最も不適切なものはどれか。","1","①林木の苗木を作る方法は、有性繁殖法と無性繁殖法とに分けられ、親木の優れた形質を受け継ぎ、形質のそろった森林を育てるには、有性繁殖法が有効である。","②実生苗木生産にとって、種子確保は重要な課題であり、樹木を観察して種子の豊凶を予測し、豊作年に多くの種子を採取して、これを長期間保存しておく技術が必要である。","③林木の種子の発芽促進処理方法としては、種子を1日ないし数日間水に浸す浸水法、吸水させた種子を湿ったミズゴケ、砂、おがくずなどで包み、低温で1〜2か月間保存する低温湿層処理法、種子に砂で傷をつける傷つけ法などがある。","④林木育種の方法の1つに集団選抜育種法があり、これは、林分の中から形質の優れた個体（集団）を選抜して増殖し、さらにその子供の中から優れたものを選び、選抜と増殖を繰り返していく中で、新しい品種を育成する方法である。","⑤コンテナ苗の特徴の1つとして、キャビティ（育成孔）の側壁にリブ（縦筋の突起）やスリット（縦長の隙間）を設けるなどにより、根鉢内で根巻きが生じないことが挙げられる。"
"2024","7","森林計測（測樹）に関する次の記述のうち、最も不適切なものはどれか。","2","①胸高直径を測るとき、胸高位置が二又（ふたまた）になっている場合は、2本の木としてそれぞれ測定する。","②樹高の測定方法は、巻尺、ポール、測竿（そっかん）、レーザー測高器などを使用する直接測定法、ブルーメライス、ワイゼ式測高器、超音波測高器などを使用する間接測定法、目測による方法がある。","③丸太材積を計算する求積式としては、フーベル式、スマリアン式、末口自乗（二乗）法などがある。","④立木の材積を求める方法としては、立木材積表を利用する方法、胸高形数を利用する方法などがある。","⑤ビッタリッヒ法は、林分内のポイント（標本点）から、一定の測定幅を用いて木の本数を数えることにより、林分の断面積合計を求める方法である。"
"2024","8","日本の森林土壌断面の層位に関する次の記述のうち、最も不適切なものはどれか。","5","①Ao層のうちF層は、植物遺体が土壌動物や土壌微生物による分解作用によって破砕され、その原形は失われているが、肉眼での組織が認められる程度に分解された層である。","②A層は、動植物遺体の分解により生成された腐植が集積し、暗色を呈する最表層の土層で、一般に下層より腐植含有率が高く、構造も発達し、通気透水性も良好である。","③B層は、母材の風化により生成された鉄化合物により、赤褐〜黄褐色を呈するに至った腐植に乏しい土層である。","④C層は、土壌の母材層で、基層ともいわれ、土壌化がほとんど進行していないため土色は一般的に彩度が低く、構成物質も比較的粗粒で、石礫の含有も高い。","⑤特殊な層としてグライ層があり、鉄やアルミニウムの遊離酸化物や腐植などが上位層より移動して集積した層であり、G層と呼ばれる。"
"2024","9","平成23（2011）年3月11日に発生した東日本大震災における、森林等の被害及びその対策に関する次の記述のうち、最も不適切なものはどれか。","4","①東日本大震災により、東北から四国において、山腹崩壊や地すべり等の林地荒廃、津波による防潮堤の被災等の治山施設の被害、法面・路肩の崩壊等の林道施設等の被害、火災による焼損等の森林被害等が発生した。","②被災した海岸防災林の復旧・再生は、令和5（2023）年3月末時点で、要復旧延長の大部分において植栽等の復旧事業が完了した。","③福島県によるモニタリング調査では、県内における帰還困難区域を除く森林内の空間線量率は、放射性物質の物理的減衰による予測値とほぼ同様に年々低下している。","④福島県内の森林における放射性セシウムの蓄積量は、令和4（2022）年時点で、約90%以上が土壌に分布し、その大部分は土壌の表層5cmより深い層に浸透している。","⑤東日本大震災以前のきのこの原木は、福島県で生産されていたものが広く全国に流通していたため、多くの県できのこの原木の安定調達に影響が生じたことから、林野庁では、きのこの原木の需要者と供給者のマッチングを行っている。"
"2024","10","地球温暖化対策と森林に関連する次の記述のうち、最も不適切なものはどれか。なお、COPは国連気候変動枠組条約締約国会議を示す。","5","①我が国は、平成9（1997）年のCOP3で採択された「京都議定書」における「第1約束期間」の温室効果ガスの排出量を、基準年（原則として平成2（1990）年）と比較して、6%削減目標を達成し、このうち森林吸収量は、目標の3.8%を確保した。","②平成22（2010）年のCOP16において、REDD+の5つの基本的な活動（森林減少からの排出の削減、森林劣化からの排出の削減、森林炭素蓄積の保全、持続可能な森林経営及び森林炭素蓄積の強化）が定義された。","③平成27（2015）年のCOP21では、令和2（2020）年以降の国際的な温暖化対策について、先進国、開発途上国を問わずに全ての締約国が参加する公平かつ実効的な法的枠組みである「パリ協定」が採択され、平成28（2016）年11月に発効した。","④IPCCが平成30（2018）年10月に発表した「1.5°C特別報告書」では、地球の平均気温は工業化以前の水準に比べて人間活動により約1.0°C上昇したと推定されており、地球温暖化による気象災害の増加や農作物への影響が既に観察されている。","⑤我が国は、地球温暖化対策計画（令和3（2021）年10月閣議決定）において、令和12（2030）年度の温室効果ガスの削減目標を平成25（2013）年度総排出量比で従来の26%削減を引き上げ36%削減を目指し、さらに40%の高みに向けて挑戦を続けることとしている。"
"2024","11","林分の発達段階に関する次の記述のうち、最も不適切なものはどれか。","4","①林分の発達段階は、大きなかく乱を受けた後の林分の構造又は機能が、時間的に変化する段階的特色を類型化したものをいう。","②台風や皆伐などによるかく乱を受けた後、林分が一斉に更新し、その後大きなかく乱がない場合、林分の発達段階はふつう更新段階（林分成立段階）、若齢段階、成熟段階、老齢段階の4段階に分けられる。","③更新段階（林分成立段階）は、かく乱によって生じた更新面が十分な光を得て、さまざまな植物が侵入し競争する段階である。前生の萌芽、埋土種子の発芽もあるが、新たな種子の散布による草本類や木本類の発生も多い。","④若齢段階は、上層木の樹冠同士に透き間ができて林内の相対照度がある程度高まり、低木層が成立する段階である。耐陰性の灌木（かんぼく）性種が多い。","⑤老齢段階は、上層を優占していた個体の中に、寿命がきたりして枯死するものが現われ、その部分を中心に光環境がよくなり、それまで成長を抑制されていた木層の木が亜高木層、高木層へと成長し、階層構造が複雑になる段階である。"
"2024","12","森林の環境要素に関する次の記述のうち、最も不適切なものはどれか。","2","①木にとっての水は、器官のしおれ防止、物質の合成・分解・転流、養分の吸収、温度調節などに必要である。","②蒸散は葉温を下げ、根からの水や栄養塩類の吸収・移動を増加させる。日中、気孔が開くとき蒸散によって葉内の水分が失われるが、気孔が閉じると蒸散は行われない。","③光合成による物質生産と呼吸による消費量が釣合う光度を光補償点という。光補償点以上では、強度に伴って純光合成速度は増加するが、次第に増加割合は減少し光飽和点に達する。","④弱光に耐えて生育できる性質を耐陰性という。耐陰性は、樹種ごとの生きていくための最少受光量によって決まる。","⑤温度はエネルギー収支、植物の物質代謝、成長などに大きく影響を及ぼす。気候帯を温度によって分類すると寒帯、温帯、熱帯などに区分される。"
"2024","13","森林認証制度に関する次の記述のうち、最も不適切なものはどれか。","3","①森林認証制度は、第三者機関が、森林経営の持続性や環境保全などの基準に基づき森林を認証するとともに、認証森林から産出される木材及び木材製品を非認証材と分別、表示管理し、消費者の選択的な購入を促す仕組みである。","②米国、カナダ、日本それぞれにおけるFSC又はPEFCによる認証面積の森林面積に占める割合は、令和4（2022）年12月現在、カナダが約4割、次いで米国と日本が約1割となっている。","③日本における森林認証は、森林管理協議会が管理する「FSC認証」と一般社団法人緑の循環認証会議が管理する我が国独自の「SGEC認証」がある。「SGEC認証」は、ヨーロッパ11か国の認証組織により発足した森林認証制度相互承認プログラム（PEFC）による「PEFC認証」との相互承認の実現が待たれている。","④令和7（2025）年日本国際博覧会（大阪・関西万博）の持続可能性に配慮した調達コードにおいて、木材については、伐採の際に生産国等における森林に関する法令等に違反していないものであること等の基準が示されており、FSC、PEFC、SGECによる認証材については、これらの基準への適合度が高いものとして原則認めることとされている。","⑤認証材は、外見は非認証材と区別がつかないことから、両者が混合しないよう、加工及び流通過程において、その他の木材と分別管理する必要があり、各工場における木材及び木材製品の分別管理体制を審査し、承認する制度（CoC認証）が導入されている。"
"2024","14","森林の獣害や被害対策などに関する次の記述のうち、最も不適切なものはどれか。","1","①ニホンジカの主な被害対策は、個体数調整（個体群管理）、被害防除、生息環境管理の3つのアプローチがある。個体数調整において、ニホンジカの個体数を効果的に調整するには、メスよりもオスを主体とした捕獲が必要である。","②ノウサギ類の林業被害は、枝葉採食と皮食があり、主軸切断に伴う枝葉採食は、木の成長を著しく阻害する。枝葉の採食面は鋭く切断されることから、採食痕からニホンジカやニホンカモシカによる枝葉食との識別が可能である。","③ツキノワグマの林業被害は主に樹皮剥皮で、対象種はスギ、ヒノキ、カラマツといった針葉樹のほか、広葉樹各種にもみられる。主な対策は、樹幹にプラスチック製のテープや剥皮防止帯、ネットなどを巻く物理的防除がある。","④野ネズミ類の林業被害は、樹皮採食、根食が主である。主な対策は、罠などによる捕獲、殺鼠剤の空中散布のほか、地ごしらえにおける枝条の除去なども効果がある。","⑤林業被害をもたらす哺乳類は、時代とともに変化してきており、1950〜1970年代にかけては、野ネズミ類とノウサギ類が主な加害獣であった。1980年代以降はニホンカモシカ、ニホンジカによる被害が増加し、現在ではニホンジカによる被害が多くを占める。"
"2024","15","保安林に関する次の記述のうち、最も不適切なものはどれか。","2","①保安林は、「水源のかん養」、「土砂の流出の防備」など森林法第25条第1項第1号から第11号に掲げる目的を達成するため必要があるときに指定される。","②令和4（2022）年度森林・林業白書によると令和3（2021）年度末で、全国の森林面積の約75%の森林が保安林に指定されており、水源かん養保安林と土砂流出防備保安林の2種類の保安林で全保安林面積の約半数を占める。","③保安林においては、特定の場合を除き、都道府県知事の許可を受けなければ、立木を伐採する行為や、下草、落葉若しくは落枝を採取する行為、土地の形質を変更する行為をしてはならない。","④保安林の指定の目的を達成するための必要最小限の制限として、立木の伐採の方法及び限度並びに立木を伐採した後において当該伐採跡地について行う必要のある植栽の方法、期間及び種が、指定施業要件として定められている。","⑤保安施設事業とは、森林法第25条第1項第1号から第7号までに掲げる目的を達成するために行う、森林の造成事業又は森林の造成若しくは維持に必要な事業をいう。"
